community,region,country,latitude,longitude,type,scenario,resolution,unit,DATE,PMAT
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-07-01,16.13
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-08-01,14.35
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-09-01,11.82
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-10-01,7.7
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-11-01,-1.26
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-12-01,2.02
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-01-01,-2.33
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-02-01,2.91
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-03-01,0.91
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-04-01,5.15
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-05-01,6.96
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-06-01,11.62
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-07-01,13.35
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-08-01,13.3
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-09-01,11.06
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-10-01,4.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-11-01,0.86
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2042-12-01,-2.19
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2043-01-01,1.89
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2043-02-01,3.84
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2043-03-01,0.6
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2043-04-01,2.11
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2043-05-01,7.88
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2043-06-01,14.27
