year,month,model,temperature,rcp,site,date
2028,Sep,Model1,12.0576492536995,4.5,CRD,2028-09-01
2028,Oct,Model1,9.87430638786894,4.5,CRD,2028-10-01
2028,Nov,Model1,5.50647413925944,4.5,CRD,2028-11-01
2012,Mar,Model1,-1.52320003560856,4.5,CRD,2012-03-01
2014,Jun,Model1,10.87,4.5,CRD,2014-06-01
2028,Dec,Model1,3.22708005665291,4.5,CRD,2028-12-01
2029,Jan,Model1,3.11962160892185,4.5,CRD,2029-01-01
2029,Feb,Model1,2.47330506817558,4.5,CRD,2029-02-01
2029,Mar,Model1,1.34043554402153,4.5,CRD,2029-03-01
2029,Apr,Model1,3.2478352171565,4.5,CRD,2029-04-01
2029,May,Model1,5.7023106677167,4.5,CRD,2029-05-01
2029,Jun,Model1,8.35943225027556,4.5,CRD,2029-06-01
2029,Jul,Model1,10.5176499555887,4.5,CRD,2029-07-01
2029,Aug,Model1,11.9343824038217,4.5,CRD,2029-08-01
2029,Sep,Model1,11.9138443369107,4.5,CRD,2029-09-01
2014,Jul,Model1,12.87,4.5,CRD,2014-07-01
2029,Oct,Model1,11.072684041534,4.5,CRD,2029-10-01
2029,Nov,Model1,7.30092316831279,4.5,CRD,2029-11-01
2029,Dec,Model1,5.63304073087361,4.5,CRD,2029-12-01
2030,Jan,Model1,2.87719421425078,4.5,CRD,2030-01-01
2030,Feb,Model1,3.27800580048344,4.5,CRD,2030-02-01
2030,Mar,Model1,3.1705603730778,4.5,CRD,2030-03-01
2030,Apr,Model1,2.61863022369806,4.5,CRD,2030-04-01
2030,May,Model1,5.71455866864542,4.5,CRD,2030-05-01
2030,Jun,Model1,9.53462599055771,4.5,CRD,2030-06-01
2030,Jul,Model1,11.6329225009051,4.5,CRD,2030-07-01
2014,Aug,Model1,12.6031897536593,4.5,CRD,2014-08-01
2030,Aug,Model1,13.483916495457,4.5,CRD,2030-08-01
2030,Sep,Model1,12.6528358647338,4.5,CRD,2030-09-01
