STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/18/2001,0.6,0,,,11.7,16.1,6.7,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/19/2001,1.2,0,,,12.2,20.6,3.3,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/20/2001,1.3,0,,,13.3,20.6,5.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/21/2001,1,7.1,,,11.7,13.3,10,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/22/2001,1.1,0,,,13.3,16.7,9.4,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/23/2001,1.9,0,,,14.4,17.8,10.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/24/2001,1.7,0,,,13.3,17.8,8.9,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/25/2001,1.4,2,,,12.2,14.4,10,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/26/2001,1.2,0.8,,,13.3,16.7,10,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/27/2001,1.6,0,,,14.4,22.2,6.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/28/2001,2.1,1,,,15.6,25,6.1,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/29/2001,0.9,0,,,12.2,14.4,10,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/30/2001,1,0,,,12.2,14.4,10,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/1/2001,1.5,0,,,14.4,18.9,10,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/2/2001,1.1,0,,,13.3,16.1,10.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/3/2001,1.8,1.8,,,12.8,15.6,9.4,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/4/2001,1.9,17,,,11.1,13.3,8.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/5/2001,2.2,28.4,,,10,11.1,8.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/6/2001,1.5,3,,,10.6,13.3,7.2,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/7/2001,1,1.8,,,11.1,13.3,8.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/8/2001,1.4,1.3,,,9.4,13.9,4.4,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/9/2001,1,0,,,9.4,16.7,1.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/10/2001,1.2,6.6,,,11.1,13.3,8.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/11/2001,1.5,1.5,,,11.7,15,8.3,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,7/12/2001,1.9,0.5,,,12.2,15,9.4,0
